,,AMESBURY BALLROOM (850),AMESBURY BALLROOM ABC (400),AMESBURY BALLROOM D (360),INMAN SQUARE (100),CENTRAL SQUARE (100),KENDALL SQUARE (100),PORTER SQUARE A (60),PORTER SQUARE B (60),HARVARD SQUARE A (60),HARVARD SQUARE B (60),,,
Date,Time,,,,,,,,,,,,,
"Wednesday, June 3",8:00 AM,,,,,,,,,,,,,
,8:15 AM,,,,,,,,,,,,,
,8:30 AM,,,,,,,,,,,,,
,8:55 AM,Keynote 1 (duo),Laszlo Barabasi & Reka Albert,Chair: Alessandro vespignani,,,,,,,,,,
,9:00 AM,Keynote 1 (duo),Laszlo Barabasi & Reka Albert,,,,,,,,,,,
,9:15 AM,Keynote 1 (duo),Laszlo Barabasi & Reka Albert,,,,,,,,,,,
,9:30 AM,Keynote 1 (duo),Laszlo Barabasi & Reka Albert,,,,,,,,,,,
,9:45 AM,Keynote 2,Moon Duchin,Chair: ???,,,,,,,,,,
,10:00 AM,Keynote 2,Moon Duchin,,,,,,,,,,,
,10:15 AM,Keynote 2,Moon Duchin,,,,,,,,,,,
,10:30 AM,,,,,,,,,,,,,
,10:45 AM,,,,,,,,,,,,,
,11:00 AM,Lightning 1,10 talks total,Chair: ???,,,,,,,,,,
,11:15 AM,Lightning 1,10 talks total,,,,,,,,,,,
,11:30 AM,Invited 1,Elaine O. Nsoesie,Chair: Sam Scarpino,,,,,,,,,,
,11:45 AM,Invited 1,Elaine O. Nsoesie,,,,,,,,,,,
,12:00 PM,Invited 2,Petra Vértes,Chair: ???,,,,,,,,,,
,12:15 PM,Invited 2,Petra Vértes,,,,,,,,,,,
,12:30 PM,,,,,,,,,,,,,
,12:45 PM,,,,,,,,,,,,,
,1:00 PM,,,,,,,,,,,,,
,1:15 PM,,,,,,,,,,,,,
,1:30 PM,,,,,,,,,,,,,
,1:45 PM,,,,,,,,,,,,,
,2:00 PM,,,,,,,,,,,,,
,2:15 PM,,,,,,,,,,,,,
,2:30 PM,Invited 3,Diego Garlaschelli,Chair: Dima Krioukov,,,,,,,,,,
,2:45 PM,Invited 3,Diego Garlaschelli,,,,,,,,,,,
,3:00 PM,Lightning 2,20 talks total,Chair: ???,,,,,,,,,,
,3:15 PM,Lightning 2,20 talks total,,,,,,,,,,,
,3:30 PM,Lightning 2,20 talks total,Chair: ???,,,,,,,,,,
,3:45 PM,Lightning 2,20 talks total,,,,,,,,,,,
,4:00 PM,,,,,,,,,,,,,
,4:15 PM,,,,PS 1.1,PS 1.2,PS 1.3,PS 1.4,PS 1.5,PS 1.6,PS 1.7,,7,sessions
,4:30 PM,Set-up for Poster,,,Social Networks 1,Higher-order & Multilayer Networks 1,"Algorithms, Inference & Reconstruction 1",Biological Networks 1,"Mobility, Spatial & Urban Networks 1",Network Epidemics & Spreading 1,Network Theory 1,,42,talks
,4:45 PM,Set-up for Poster,,,Social Networks 1,Higher-order & Multilayer Networks 1,"Algorithms, Inference & Reconstruction 1",Biological Networks 1,"Mobility, Spatial & Urban Networks 1",Network Epidemics & Spreading 1,Network Theory 1,,,
,5:00 PM,Set-up for Poster,,,Social Networks 1,Higher-order & Multilayer Networks 1,"Algorithms, Inference & Reconstruction 1",Biological Networks 1,"Mobility, Spatial & Urban Networks 1",Network Epidemics & Spreading 1,Network Theory 1,,,
,5:15 PM,Set-up for Poster,,,Social Networks 1,Higher-order & Multilayer Networks 1,"Algorithms, Inference & Reconstruction 1",Biological Networks 1,"Mobility, Spatial & Urban Networks 1",Network Epidemics & Spreading 1,Network Theory 1,,,
,5:30 PM,Set-up for Poster,,,Social Networks 1,Higher-order & Multilayer Networks 1,"Algorithms, Inference & Reconstruction 1",Biological Networks 1,"Mobility, Spatial & Urban Networks 1",Network Epidemics & Spreading 1,Network Theory 1,,,
,5:45 PM,Set-up for Poster,,,Social Networks 1,Higher-order & Multilayer Networks 1,"Algorithms, Inference & Reconstruction 1",Biological Networks 1,"Mobility, Spatial & Urban Networks 1",Network Epidemics & Spreading 1,Network Theory 1,,,
,6:00 PM,,,,Chair: Allison Wan,Chair: Nicholas Landry,Chair: Alec Kirkley,,Chair: Maddalena Torricelli,Network Epidemics & Spreading 1,,,,
,6:15 PM,,,,,,,,,Chair: Mariah Boudreau,,,,
,6:30 PM,Poster Reception,,,,,,,,,,,,
,6:45 PM,Poster Reception,,,,,,,,,,,,
,7:00 PM,Poster Reception,,,,,,,,,,,,
,7:15 PM,Poster Reception,,,,,,,,,,,,
,7:30 PM,Poster Reception,,,,,,,,,,,,
,7:45 PM,Poster Reception,,,,,,,,,,,,
,8:00 PM,Poster Reception,,,,,,,,,,,,
,8:15 PM,Poster Reception,,,,,,,,,,,,
,8:30 PM,Poster Reception,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Thursday, June 4",8:00 AM,,,,,,,,,,,,,
,8:15 AM,,,,,,,,,,,,,
,8:30 AM,,,,,,,,,,,,,
,8:45 AM,,,,,,,,,,,,,
