,L-51,L-159,L-471,L-287,L-616,L-540,L-601,L-71,L-106,L-353,L-425,L-89,L-300,L-440,L-98,L-7,L-318,L-184,L-383,L-166,L-557,L-319
L-51,1.000000,0.186115,0.214950,0.342183,0.184166,0.279495,0.151666,0.163058,0.200562,0.325527,0.438234,0.406890,0.332141,0.314629,0.186105,0.141367,0.340122,0.175746,0.086872,0.435777,0.255090,0.507837
L-159,0.186115,1.000000,0.199464,0.338504,0.227744,0.157614,0.204434,0.293060,0.338234,0.050182,0.108037,0.163608,0.157536,0.253817,0.094265,0.067040,0.168945,0.212074,0.305817,0.245522,0.289000,0.150229
L-471,0.214950,0.199464,1.000000,0.307460,0.199793,0.391950,0.138147,0.167209,0.300630,0.229067,0.267239,0.340596,0.318368,0.346463,0.477023,0.357022,0.169170,0.104426,0.137503,0.341857,0.283150,0.110631
L-287,0.342183,0.338504,0.307460,1.000000,0.341362,0.372188,0.288370,0.341233,0.369510,0.255774,0.249546,0.348652,0.415468,0.495995,0.203021,0.161570,0.320173,0.442838,0.295982,0.513431,0.418091,0.329376
L-616,0.184166,0.227744,0.199793,0.341362,1.000000,0.192018,0.219657,0.352252,0.577289,0.169425,0.166815,0.111894,0.247822,0.210400,0.141374,0.184004,0.213876,0.280247,0.232012,0.351143,0.251024,0.215093
L-540,0.279495,0.157614,0.391950,0.372188,0.192018,1.000000,0.283467,0.284775,0.171848,0.391002,0.258455,0.285465,0.268475,0.420202,0.156749,0.236064,0.284405,0.261290,0.115827,0.367084,0.340265,0.307268
L-601,0.151666,0.204434,0.138147,0.288370,0.219657,0.283467,1.000000,0.256487,0.313990,0.064270,0.051063,0.070369,0.176942,0.244247,0.128299,0.180723,0.471675,0.478389,0.222814,0.119713,0.270868,0.290230
L-71,0.163058,0.293060,0.167209,0.341233,0.352252,0.284775,0.256487,1.000000,0.336576,0.131880,0.110618,0.141087,0.202766,0.228448,0.225514,0.191193,0.164032,0.476044,0.549712,0.278152,0.421956,0.251705
L-106,0.200562,0.338234,0.300630,0.369510,0.577289,0.171848,0.313990,0.336576,1.000000,0.078420,0.153688,0.183867,0.230982,0.324139,0.193878,0.101878,0.332477,0.246913,0.324881,0.272115,0.318879,0.227910
L-353,0.325527,0.050182,0.229067,0.255774,0.169425,0.391002,0.064270,0.131880,0.078420,1.000000,0.367158,0.438275,0.389086,0.274926,0.172676,0.266553,0.084957,0.065955,0.007473,0.314453,0.122068,0.120319
L-425,0.438234,0.108037,0.267239,0.249546,0.166815,0.258455,0.051063,0.110618,0.153688,0.367158,1.000000,0.374944,0.166225,0.247830,0.211960,0.133300,0.079901,0.067338,0.001444,0.368183,0.148035,0.301519
L-89,0.406890,0.163608,0.340596,0.348652,0.111894,0.285465,0.070369,0.141087,0.183867,0.438275,0.374944,1.000000,0.440424,0.486647,0.319972,0.186917,0.189462,0.189722,0.070818,0.336145,0.220200,0.230143
L-300,0.332141,0.157536,0.318368,0.415468,0.247822,0.268475,0.176942,0.202766,0.230982,0.389086,0.166225,0.440424,1.000000,0.444902,0.401308,0.240291,0.192937,0.205058,0.222128,0.361663,0.293243,0.196246
L-440,0.314629,0.253817,0.346463,0.495995,0.210400,0.420202,0.244247,0.228448,0.324139,0.274926,0.247830,0.486647,0.444902,1.000000,0.294180,0.124602,0.282072,0.325318,0.254256,0.465215,0.340632,0.221381
L-98,0.186105,0.094265,0.477023,0.203021,0.141374,0.156749,0.128299,0.225514,0.193878,0.172676,0.211960,0.319972,0.401308,0.294180,1.000000,0.324079,0.125851,0.128025,0.224571,0.301509,0.114583,0.211822
L-7,0.141367,0.067040,0.357022,0.161570,0.184004,0.236064,0.180723,0.191193,0.101878,0.266553,0.133300,0.186917,0.240291,0.124602,0.324079,1.000000,0.137683,0.124560,0.131283,0.240697,0.076726,0.092809
L-318,0.340122,0.168945,0.169170,0.320173,0.213876,0.284405,0.471675,0.164032,0.332477,0.084957,0.079901,0.189462,0.192937,0.282072,0.125851,0.137683,1.000000,0.358192,0.141608,0.276688,0.270888,0.313758
L-184,0.175746,0.212074,0.104426,0.442838,0.280247,0.261290,0.478389,0.476044,0.246913,0.065955,0.067338,0.189722,0.205058,0.325318,0.128025,0.124560,0.358192,1.000000,0.440171,0.310345,0.366035,0.287708
L-383,0.086872,0.305817,0.137503,0.295982,0.232012,0.115827,0.222814,0.549712,0.324881,0.007473,0.001444,0.070818,0.222128,0.254256,0.224571,0.131283,0.141608,0.440171,1.000000,0.195749,0.350131,0.185685
L-166,0.435777,0.245522,0.341857,0.513431,0.351143,0.367084,0.119713,0.278152,0.272115,0.314453,0.368183,0.336145,0.361663,0.465215,0.301509,0.240697,0.276688,0.310345,0.195749,1.000000,0.302289,0.229918
L-557,0.255090,0.289000,0.283150,0.418091,0.251024,0.340265,0.270868,0.421956,0.318879,0.122068,0.148035,0.220200,0.293243,0.340632,0.114583,0.076726,0.270888,0.366035,0.350131,0.302289,1.000000,0.200929
L-319,0.507837,0.150229,0.110631,0.329376,0.215093,0.307268,0.290230,0.251705,0.227910,0.120319,0.301519,0.230143,0.196246,0.221381,0.211822,0.092809,0.313758,0.287708,0.185685,0.229918,0.200929,1.000000
